Src IP Addr,Dst IP Addr,Date first seen,Date first seen timestamp,Duration,Proto,Src Pt,Dst Pt,Packets,Bytes
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:36.819, 1620942936.819,     0.000, UDP  ,  55650,     53,        1,       56
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:36.819, 1620942936.819,     0.000, UDP  ,     53,  55650,        1,      121
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:36.825, 1620942936.825,     0.000, UDP  ,  52850,     53,        1,       47
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:36.825, 1620942936.825,     0.000, UDP  ,     53,  52850,        1,       63
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:37.021, 1620942937.021,     0.000, UDP  ,  57946,     53,        1,       68
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:37.021, 1620942937.021,     0.000, UDP  ,     53,  57946,        1,      144
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:37.083, 1620942937.083,     0.000, UDP  ,  62402,     53,        1,       68
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:37.084, 1620942937.084,     0.000, UDP  ,     53,  62402,        1,      144
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:37.425, 1620942937.425,     0.000, UDP  ,  61196,     53,        1,       34
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:37.425, 1620942937.425,     0.000, UDP  ,     53,  61196,        1,       50
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:37.806, 1620942937.806,     0.000, UDP  ,  53359,     53,        1,       40
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:37.806, 1620942937.806,     0.000, UDP  ,     53,  53359,        1,      116
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:37.807, 1620942937.807,     0.000, UDP  ,  57468,     53,        1,       34
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:37.807, 1620942937.807,     0.000, UDP  ,     53,  57468,        1,      109
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:38.266, 1620942938.266,     0.000, UDP  ,  59310,     53,        1,       87
         10.0.0.2,       10.0.0.101, 2021-05-13 23:55:38.267, 1620942938.267,     0.000, UDP  ,     53,  59310,        1,      152
       10.0.0.101,         10.0.0.2, 2021-05-13 23:55:38.507, 1620942938.507,     0.000, UDP  ,  58723,     53,        1,       92
