Datefirstseen,SrcIPAddr,DstIPAddr,Datefirstseenunix,Duration,Proto,SrcPt,DstPt,Packets,Bytes
2016-09-12 10:35:58.249,192.168.56.12,8.8.4.4,1473669358,0,UDP,57259,53,1,77
2016-09-12 10:35:58.250,192.168.56.12,8.8.4.4,1473669358,0,UDP,57236,53,1,77
2016-09-12 10:35:58.586,192.168.56.12,8.8.8.8,1473669358,0,UDP,57236,53,1,77
2016-09-12 10:35:58.586,192.168.56.12,8.8.8.8,1473669358,0,UDP,57259,53,1,77
2016-09-12 10:35:58.758,8.8.4.4,192.168.56.12,1473669358,0,UDP,53,57259,1,93
2016-09-12 10:35:58.774,192.168.56.12,8.8.4.4,1473669358,0,UDP,65178,53,1,77
2016-09-12 10:35:58.924,192.168.56.12,8.8.4.4,1473669358,0,UDP,57236,53,1,77
2016-09-12 10:35:59.133,8.8.4.4,192.168.56.12,1473669359,0,UDP,53,57236,1,93
2016-09-12 10:35:59.134,8.8.8.8,192.168.56.12,1473669359,0,UDP,53,57259,1,93
2016-09-12 10:35:59.135,8.8.8.8,192.168.56.12,1473669359,0,UDP,53,57236,1,93
2016-09-12 10:35:59.136,8.8.4.4,192.168.56.12,1473669359,0,UDP,53,65178,1,93
2016-09-12 10:35:59.137,8.8.4.4,192.168.56.12,1473669359,0,UDP,53,57236,1,93
2016-09-12 10:35:59.141,192.168.56.12,8.8.8.8,1473669359,0,ICMP,0,3,1,121
2016-09-12 10:35:59.144,192.168.56.12,8.8.8.8,1473669359,0,UDP,65178,53,1,77
2016-09-12 10:35:59.144,192.168.56.12,8.8.4.4,1473669359,0,UDP,52164,53,1,77
2016-09-12 10:35:59.179,8.8.4.4,192.168.56.12,1473669359,0,UDP,53,52164,1,93
2016-09-12 10:35:59.203,8.8.8.8,192.168.56.12,1473669359,0,UDP,53,65178,1,93
2016-09-12 10:36:11.017,192.168.56.12,8.8.8.8,1473669371,0,UDP,58727,53,1,34
2016-09-12 10:36:11.026,8.8.8.8,192.168.56.12,1473669371,0,UDP,53,58727,1,89
2016-09-12 10:36:15.521,192.168.56.12,8.8.8.8,1473669375,0,UDP,57472,53,1,77
2016-09-12 10:36:15.557,8.8.8.8,192.168.56.12,1473669375,0,UDP,53,57472,1,93
2016-09-12 10:36:17.284,192.168.56.12,8.8.8.8,1473669377,0,UDP,50949,53,1,77
2016-09-12 10:36:17.319,8.8.8.8,192.168.56.12,1473669377,0,UDP,53,50949,1,93
